// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
42.847; 0.33974; 
42.908; 0.31414; 
42.969; 0.32111; 
43.03; 0.34596; 
43.091; 0.42871; 
43.152; 0.51701; 
43.213; 0.61438; 
43.274; 0.69427; 
43.335; 0.66483; 
43.396; 0.58883; 
43.457; 0.48397; 
43.518; 0.31482; 
43.579; 0.17186; 
43.64; 0.08579; 
43.701; 0.04653; 
43.762; 0.06548; 
43.823; 0.13454; 
43.884; 0.28008; 
43.945; 0.42749; 
44.006; 0.45537; 
44.067; 0.44934; 
44.128; 0.4564; 
44.189; 0.37046; 
44.25; 0.27203; 
44.312; 0.20084; 
44.373; 0.08559; 
44.434; 0.09763; 
44.495; 0.22891; 
44.556; 0.28806; 
44.617; 0.36482; 
44.678; 0.48385; 
44.739; 0.52029; 
44.8; 0.44432; 
44.861; 0.28103; 
44.922; 0.10376; 
44.983; -0.00152; 
45.044; -0.02992; 
45.105; -0.08587; 
45.166; -0.12842; 
45.227; -0.01473; 
45.288; 0.0966; 
45.349; 0.04775; 
45.41; -0.03997; 
45.471; -0.0895; 
45.532; -0.11435; 
45.593; -0.10981; 
45.654; -0.10149; 
45.715; -0.1065; 
45.776; -0.0794; 
45.837; -0.03061; 
45.898; -0.02934; 
45.959; -0.03224; 
46.021; -0.01447; 
46.082; -0.04262; 
46.143; -0.08668; 
46.204; -0.12178; 
46.265; -0.1556; 
46.326; -0.17173; 
46.387; -0.2326; 
46.448; -0.31223; 
46.509; -0.34753; 
46.57; -0.38882; 
46.631; -0.4012; 
46.692; -0.37034; 
46.753; -0.33743; 
46.814; -0.26135; 
46.875; -0.18263; 
46.936; -0.16569; 
46.997; -0.18195; 
47.058; -0.2371; 
47.119; -0.35803; 
47.18; -0.50576; 
47.241; -0.60179; 
47.302; -0.59299; 
47.363; -0.50582; 
47.424; -0.39693; 
47.485; -0.28628; 
47.546; -0.21678; 
47.607; -0.19713; 
47.668; -0.22912; 
47.729; -0.35853; 
47.791; -0.46789; 
47.852; -0.50049; 
47.913; -0.54947; 
47.974; -0.53649; 
48.035; -0.45999; 
48.096; -0.41223; 
48.157; -0.36568; 
48.218; -0.33321; 
48.279; -0.29537; 
48.34; -0.25294; 
48.401; -0.27209; 
48.462; -0.31917; 
48.523; -0.3696; 
48.584; -0.37884; 
48.645; -0.32691; 
48.706; -0.31014; 
48.767; -0.30616; 
48.828; -0.28165; 
48.889; -0.30094; 
48.95; -0.34763; 
49.011; -0.40138; 
49.072; -0.45247; 
49.133; -0.44745; 
49.194; -0.3911; 
49.255; -0.31699; 
49.316; -0.22488; 
49.377; -0.16251; 
49.438; -0.18432; 
49.5; -0.227; 
49.561; -0.23606; 
49.622; -0.22913; 
49.683; -0.19979; 
49.744; -0.17105; 
49.805; -0.1634; 
49.866; -0.1254; 
49.927; -0.04648; 
49.988; -0.01087; 
50.049; -0.0769; 
50.11; -0.19287; 
50.171; -0.2824; 
50.232; -0.34349; 
50.293; -0.39063; 
50.354; -0.38; 
50.415; -0.33885; 
50.476; -0.29795; 
50.537; -0.20603; 
50.598; -0.16175; 
50.659; -0.19702; 
50.72; -0.21932; 
50.781; -0.26376; 
