,Nombre,diagnostico,Id_Estado_Activo,time,machine
1332,S6-Ventilador 72 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-72-M2
1192,S6-Ventilador 75 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-75-M1
895,S5-Ventilador 69 M1," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos, especialmente en el lado opuesto a polea.",2.0,2019-10-16,S5-69-M1
1294,S6-Ventilador 79 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-79-M1
967,S5-Ventilador 71 M1," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos, especialmente en el lado polea.",2.0,2019-10-16,S5-71-M1
1100,S4-Ventilador 66 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-66-M1
1128,S4-Ventilador 68 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-68-M2
1207,S6-Ventilador 79 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-79-M2
1140,S4-Ventilador 69 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-69-M1
1101,S4-Ventilador 66 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-66-M1
1197,S6-Ventilador 67 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-67-M1
1075,S4-Ventilador 70 M2," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-70-M2
500,S4-Ventilador Extracción 61 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-61-M1
974,S4-Ventilador 71 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-71-M1
1202,S6-Ventilador Extracción 61 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-61-M1
992,S4-Ventilador 72 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S4-72-M1
1327,S6-Ventilador 72 M1," Motor: Activo en buen estado
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-72-M1
1289,S6-Ventilador 73 M1," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-10-16,S6-73-M1
549,S2-Ventilador M42," Motor: Activo en buen estado.
 Ventilador: Se detecta una mejoría en el comportamiento.",1.0,2019-12-03,S2-M42
896,S5-Ventilador 69 M1," Motor: Activo en buen estado.
 Ventilador: Se mantienen los síntomas de una posible degradación de rodamientos, especialmente en el lado opuesto a polea.",2.0,2019-12-03,S5-69-M1
935,S5-Ventilador 73 M1, Ventilador: Se detectan síntomas de una posible degradación de rodamientos. Los niveles en mm/s están por encima de la normalidad posiblemente motivado por una condición de una amplificación estructural.,3.0,2019-12-03,S5-73-M1
654,S3-Ventilador M14," Motor: Se detectan síntomas de una posible degradación del rodamiento lado polea.
 Ventilador: Activo en buen estado.",2.0,2019-12-03,S3-M14
921,S5-Ventilador 70 M2," Motor: Activo en buen estado.
 Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos de la cañonera.",2.0,2019-12-03,S5-70-M2
237,S1-Ventilador M32,"  Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos, existe un aumento de las amplitudes.",3.0,2019-12-03,S1-M32
111,S2-Ventilador M30, Conjunto: Niveles de vibración por encima de la normalidad asociados a una posible condición de amplificación estructural.,2.0,2019-12-03,S2-M30
1134,S4-Ventilador 79 M2," Motor: Activo en buen estado.
 Ventilador: Existe una mejoría en el comportamiento, pero se detectan componentes en alta frecuencia que podrían estar asociadas al rodamiento.",1.0,2019-12-03,S4-79-M2
128,S2-Ventilador M33," Motor: Activo en buen estado.
 Ventilador: Se mantienen los síntomas de una posible degradación de rodamientos.",2.0,2019-12-03,S2-M33
406,S3-Ventilador M36," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación del rodamiento opuesto a polea.",2.0,2019-12-03,S3-M36
637,S3-Ventilador M11," Motor: Se detectan síntomas de una posible degradación del rodamiento lado polea.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos del ventilador.",2.0,2019-12-03,S3-M11
687,S3-Ventilador M20," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. Se mantienen los síntomas de una posible amplificación estructural.",1.0,2019-12-03,S3-M20
195,S1-Ventilador M26, Ventilador: Posible degradación de los rodamientos de la cañonera.,3.0,2019-12-03,S1-M26
