machine,point,time,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range
S4-73-M2,V-LA-V,2021-04-07 10:03:06.494,9.0,0.34354,0.0,0.0,0.19353,0.12663,0.25194,0.16065,0.0,0.0,0.0
S4-73-M2,V-LOA-A,2019-10-15 17:03:24.415,1.0,0.11365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,V-LOA-A,2020-10-13 16:04:39.421,1.0,0.12708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4-73-M2,V-LOA-A,2021-04-07 10:03:42.074,3.0,0.14115,0.0,0.0,0.0,0.0,0.20732,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2019-11-26 17:17:05.714,1.0,0.0,0.0,0.31649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2019-07-16 11:59:25.214,1.0,0.0,0.0,0.11094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2020-10-14 08:19:37.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2020-02-11 12:19:51.394,2.0,0.0,0.0,0.64545,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2020-04-28 16:39:02.785,3.0,0.0,0.0,0.65608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2020-07-09 10:42:28.114,1.0,0.0,0.0,0.20726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-H,2021-04-06 10:53:58.263,2.0,0.0,0.0,0.34626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-V,2019-07-16 10:50:09.385,3.0,0.09428,0.0,0.0,0.23285999999999998,0.0,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-V,2020-10-14 11:54:34.562,2.0,0.23165,0.0,0.0,0.0,0.0,0.0,0.09426,0.0,0.0,0.0
S1-M39,V-LOA-V,2020-02-11 09:47:56.164,3.0,0.1059,0.0,0.0,0.17332,0.08044,0.0,0.0,0.0,0.0,0.0
S1-M39,V-LOA-V,2020-04-28 10:33:18.193,4.0,0.09553,0.0,0.0,0.10119,0.0,0.25484,0.0,0.0,0.0,0.0
S1-M39,V-LOA-V,2020-07-09 08:54:10.075,3.0,0.11176,0.0,0.0,0.1289,0.0,0.08751,0.0,0.0,0.0,0.0
S1-M39,V-LOA-V,2021-04-06 16:38:44.581,5.0,0.11606,0.0,0.0,0.08357,0.0,0.22137,0.10825,0.0,0.0,0.0
S4-73-M2,V-LOA-H,2019-10-15 17:02:55.365,10.0,0.1161,0.0,0.0,0.1667,0.09344,0.88144,0.08202,0.0,0.0,0.0
S4-73-M2,V-LOA-H,2020-10-13 16:04:15.551,4.0,0.0,0.0,0.09075,0.20849,0.1138,0.0,0.0,0.0,0.0,0.0
S4-73-M2,V-LOA-H,2021-04-07 10:03:17.754,7.0,0.0,0.0,0.0,0.23435,0.19140000000000001,0.35097,0.0,0.0,0.0,0.0
