// user:DESKTOP-0HM15HR_628165; date:2020-10-14 11:45:19.203; sample:3201; 
frequency[Hz]; amplitude[g RMS]; phase[°]; 
1472; 0.00719; 0.0; 
1474; 0.00804; 0.0; 
1476; 0.01231; 0.0; 
1478; 0.01219; 0.0; 
1480; 0.01125; 0.0; 
1482; 0.00831; 0.0; 
1484; 0.01183; 0.0; 
1486; 0.01849; 0.0; 
1488; 0.00941; 0.0; 
1490; 0.01649; 0.0; 
1492; 0.02014; 0.0; 
1494; 0.01624; 0.0; 
1496; 0.00862; 0.0; 
1498; 0.0029; 0.0; 
1500; 0.0086; 0.0; 
1502; 0.012; 0.0; 
1504; 0.00923; 0.0; 
1506; 0.01465; 0.0; 
1508; 0.01658; 0.0; 
1510; 0.0211; 0.0; 
1512; 0.01579; 0.0; 
1514; 0.00789; 0.0; 
1516; 0.00642; 0.0; 
1518; 0.01131; 0.0; 
1520; 0.00889; 0.0; 
1522; 0.00455; 0.0; 
1524; 0.00909; 0.0; 
1526; 0.00787; 0.0; 
1528; 0.00735; 0.0; 
1530; 0.00686; 0.0; 
1532; 0.00684; 0.0; 
1534; 0.00991; 0.0; 
1536; 0.01511; 0.0; 
1538; 0.01143; 0.0; 
1540; 0.00745; 0.0; 
1542; 0.00686; 0.0; 
1544; 0.00601; 0.0; 
1546; 0.00688; 0.0; 
1548; 0.00856; 0.0; 
1550; 0.0066; 0.0; 
1552; 0.00717; 0.0; 
1554; 0.00835; 0.0; 
1556; 0.00582; 0.0; 
1558; 0.00504; 0.0; 
1560; 0.00482; 0.0; 
1562; 0.00325; 0.0; 
1564; 0.00447; 0.0; 
1566; 0.00601; 0.0; 
1568; 0.0045; 0.0; 
1570; 0.00526; 0.0; 
1572; 0.00438; 0.0; 
1574; 0.00566; 0.0; 
1576; 0.0071; 0.0; 
1578; 0.00513; 0.0; 
1580; 0.00549; 0.0; 
1582; 0.00331; 0.0; 
1584; 0.00593; 0.0; 
1586; 0.00627; 0.0; 
1588; 0.00837; 0.0; 
1590; 0.00494; 0.0; 
1592; 0.00393; 0.0; 
1594; 0.01064; 0.0; 
1596; 0.00907; 0.0; 
1598; 0.00451; 0.0; 
1600; 0.00365; 0.0; 
1602; 0.00587; 0.0; 
1604; 0.00755; 0.0; 
1606; 0.00428; 0.0; 
1608; 0.00678; 0.0; 
1610; 0.00417; 0.0; 
1612; 0.00794; 0.0; 
1614; 0.00928; 0.0; 
1616; 0.01065; 0.0; 
1618; 0.02083; 0.0; 
1620; 0.0157; 0.0; 
1622; 0.00718; 0.0; 
1624; 0.01245; 0.0; 
1626; 0.01656; 0.0; 
1628; 0.00599; 0.0; 
1630; 0.01172; 0.0; 
1632; 0.012; 0.0; 
1634; 0.01233; 0.0; 
1636; 0.01177; 0.0; 
1638; 0.01065; 0.0; 
1640; 0.01094; 0.0; 
1642; 0.01372; 0.0; 
1644; 0.01496; 0.0; 
1646; 0.0162; 0.0; 
1648; 0.01175; 0.0; 
1650; 0.01273; 0.0; 
1652; 0.01694; 0.0; 
1654; 0.00797; 0.0; 
1656; 0.00839; 0.0; 
1658; 0.00998; 0.0; 
1660; 0.0116; 0.0; 
1662; 0.01093; 0.0; 
1664; 0.00836; 0.0; 
1666; 0.00754; 0.0; 
1668; 0.0074; 0.0; 
1670; 0.00612; 0.0; 
1672; 0.00223; 0.0; 
1674; 0.00771; 0.0; 
1676; 0.01212; 0.0; 
1678; 0.01554; 0.0; 
1680; 0.0185; 0.0; 
1682; 0.0153; 0.0; 
1684; 0.01466; 0.0; 
1686; 0.01359; 0.0; 
1688; 0.01201; 0.0; 
1690; 0.01291; 0.0; 
1692; 0.01294; 0.0; 
1694; 0.01498; 0.0; 
1696; 0.01899; 0.0; 
1698; 0.02042; 0.0; 
1700; 0.01309; 0.0; 
1702; 0.01543; 0.0; 
1704; 0.00602; 0.0; 
1706; 0.00673; 0.0; 
1708; 0.00622; 0.0; 
1710; 0.00833; 0.0; 
1712; 0.00436; 0.0; 
1714; 0.01333; 0.0; 
1716; 0.01159; 0.0; 
1718; 0.00441; 0.0; 
1720; 0.00705; 0.0; 
1722; 0.00564; 0.0; 
1724; 0.00678; 0.0; 
1726; 0.00744; 0.0; 
1728; 0.00247; 0.0; 
1730; 0.00407; 0.0; 
1732; 0.00579; 0.0; 
1734; 0.00578; 0.0; 
1736; 0.00937; 0.0; 
1738; 0.00671; 0.0; 
1740; 0.00395; 0.0; 
1742; 0.00696; 0.0; 
1744; 0.01548; 0.0; 
1746; 0.01306; 0.0; 
1748; 0.00644; 0.0; 
1750; 0.00708; 0.0; 
1752; 0.00756; 0.0; 
1754; 0.00765; 0.0; 
1756; 0.01048; 0.0; 
1758; 0.00437; 0.0; 
1760; 0.00557; 0.0; 
1762; 0.00845; 0.0; 
1764; 0.0116; 0.0; 
1766; 0.01156; 0.0; 
