// user:DESKTOP-0HM15HR_628165; date:2020-02-11 10:02:56.433; sample:8192; 
time[ms]; amplitude[g]; 
54.81; 0.11151; 
54.871; -0.0091; 
54.932; -0.09818; 
54.993; -0.16095; 
55.054; -0.16293; 
55.115; -0.13729; 
55.176; -0.09476; 
55.237; -0.02976; 
55.298; -0.00603; 
55.359; -0.01331; 
55.42; -0.04467; 
55.481; -0.09873; 
55.542; -0.13094; 
55.603; -0.1556; 
55.664; -0.15133; 
55.725; -0.10244; 
55.786; -0.05439; 
55.847; -0.00064; 
55.908; 0.05332; 
55.969; 0.08195; 
56.03; 0.08536; 
56.091; 0.06709; 
56.152; 0.03939; 
56.213; -0.00976; 
56.274; -0.05938; 
56.335; -0.04177; 
56.396; 0.02447; 
56.458; 0.0922; 
56.519; 0.19018; 
56.58; 0.30551; 
56.641; 0.35392; 
56.702; 0.32831; 
56.763; 0.27783; 
56.824; 0.18823; 
56.885; 0.05962; 
56.946; -0.02825; 
57.007; -0.05882; 
57.068; -0.09922; 
57.129; -0.13371; 
57.19; -0.10181; 
57.251; -0.02686; 
57.312; 0.04571; 
57.373; 0.10898; 
57.434; 0.18183; 
57.495; 0.26005; 
57.556; 0.29947; 
57.617; 0.3115; 
57.678; 0.33007; 
57.739; 0.33322; 
57.8; 0.31818; 
57.861; 0.3038; 
57.922; 0.29218; 
57.983; 0.2762; 
58.044; 0.25304; 
58.105; 0.25557; 
58.167; 0.28672; 
58.228; 0.29412; 
58.289; 0.26243; 
58.35; 0.23163; 
58.411; 0.21788; 
58.472; 0.15636; 
58.533; 0.05684; 
58.594; 0.03168; 
58.655; 0.05274; 
58.716; 0.05411; 
58.777; 0.0775; 
58.838; 0.11783; 
58.899; 0.11871; 
58.96; 0.07087; 
59.021; 0.03267; 
59.082; -0.01087; 
59.143; -0.11274; 
59.204; -0.14538; 
59.265; -0.0807; 
59.326; -0.05014; 
59.387; -0.00343; 
59.448; 0.14389; 
59.509; 0.34769; 
59.57; 0.49361; 
59.631; 0.53991; 
59.692; 0.54809; 
59.753; 0.47538; 
59.814; 0.34581; 
59.875; 0.24573; 
59.937; 0.12834; 
59.998; 0.07121; 
60.059; 0.144; 
60.12; 0.2519; 
60.181; 0.35779; 
60.242; 0.44208; 
60.303; 0.50168; 
60.364; 0.51748; 
60.425; 0.45237; 
60.486; 0.37568; 
60.547; 0.28896; 
60.608; 0.17174; 
60.669; 0.11313; 
60.73; 0.12657; 
60.791; 0.18689; 
60.852; 0.27949; 
60.913; 0.35749; 
60.974; 0.43117; 
61.035; 0.49654; 
61.096; 0.47802; 
61.157; 0.35612; 
61.218; 0.20319; 
61.279; 0.06359; 
61.34; -0.07072; 
61.401; -0.15892; 
61.462; -0.18425; 
61.523; -0.17792; 
61.584; -0.12284; 
61.646; -0.01645; 
61.707; 0.11815; 
61.768; 0.23463; 
61.829; 0.27311; 
61.89; 0.25204; 
61.951; 0.20093; 
62.012; 0.10068; 
62.073; -0.05696; 
62.134; -0.2007; 
62.195; -0.24979; 
62.256; -0.25243; 
