machine,point,time,max_mms,rms_mms
S2-M11,M-LA-H,2020-02-11 10:19:10.493,7.9017,2.7206259068121272
S5-66-M2,M-LA-A,2021-04-07 11:18:02.362,3.1176,1.1762449150985066
S5-66-M2,M-LA-A,2020-10-15 09:38:56.133,4.9886,1.4913169937381627
S5-66-M2,M-LA-A,2019-10-15 16:31:39.572,2.7211,0.8577842787540254
S3-M39,V-LOA-A,2020-02-11 12:57:57.524,9.4762,4.235443990461681
S3-M39,V-LOA-A,2020-07-09 11:16:22.034,7.9321,3.4302468171309246
S3-M39,V-LOA-A,2020-10-14 08:55:55.204,7.8217,3.5898468685473564
S3-M39,V-LOA-A,2021-04-06 11:34:39.174,6.9851,3.144022558405318
S3-M39,V-LOA-A,2019-07-16 12:10:48.356,7.2916,2.664925030928861
S3-M39,V-LOA-A,2020-04-28 17:24:44.813,38.641,11.584040619131818
S1-M11,M-LA-A,2020-04-28 09:44:26.604,5.2762,1.7194095841128891
S1-M11,M-LA-A,2020-07-09 08:17:18.905,4.8809,2.0003557809032113
S1-M11,M-LA-A,2020-10-14 11:18:44.932,5.0555,1.737844632393308
S1-M11,M-LA-A,2020-02-11 08:48:46.104,4.4521,2.0709188058894465
S1-M11,M-LA-A,2019-07-16 09:56:04.775,5.5736,2.0148626624667894
S1-M11,M-LA-A,2021-04-06 15:58:38.011,5.5685,2.1566762182739287
S4-71-M2,V-LOA-A,2020-02-11 13:21:24.935,2.0911,0.686583083421928
S4-71-M2,V-LOA-A,2019-12-03 16:54:49.224,3.7007,1.1690534042506209
S4-71-M2,V-LOA-A,2019-10-15 16:54:23.215,4.4741,1.1860016699425093
S4-71-M2,V-LOA-A,2021-04-07 09:56:18.164,2.9647,0.9794380833813137
S4-71-M2,V-LOA-A,2020-10-13 15:57:36.121,3.1107,1.0120270434008705
S5-66-M2,V-LA-H,2019-10-15 16:31:51.021,2.502,0.824990376229587
S5-66-M2,V-LA-H,2020-10-15 09:39:06.572,2.7437,0.9737605878908536
S5-66-M2,V-LA-H,2021-04-07 11:18:12.474,4.9122,1.370106326405704
S2-M35,V-LOA-V,2020-02-11 10:52:24.224,6.286,1.8230056512362842
S2-M35,V-LOA-V,2019-07-16 10:44:49.076,6.7612,3.7442444052330073
S2-M35,V-LOA-V,2020-10-14 17:21:17.463,3.6901,1.0904919758470784
S2-M35,V-LOA-V,2020-04-28 16:03:54.174,3.063,0.9442913958759197
S2-M35,V-LOA-V,2019-06-18 12:53:38.666,5.012,1.6100625057665445
S2-M35,V-LOA-V,2021-04-06 12:42:02.084,4.6955,1.3530366480093028
S5-66-M2,V-LA-V,2020-10-15 09:39:16.193,3.2755,1.17526159916767
S5-66-M2,V-LA-V,2021-04-07 11:18:22.663,2.9475,1.061079729908263
S5-66-M2,V-LA-V,2019-10-15 16:32:23.057,2.5228,0.5509054263480144
S4-71-M2,V-LA-H,2020-02-11 13:19:56.654,2.7343,0.8454681410975012
S4-71-M2,V-LA-H,2019-10-15 16:53:35.005,5.1759,1.7570682766972183
S4-71-M2,V-LA-H,2020-10-13 15:56:53.341,4.8291,1.5458448123100041
S4-71-M2,V-LA-H,2021-04-07 09:55:31.274,4.0203,1.1988686527054457
S4-71-M2,V-LA-H,2019-12-03 16:53:58.354,5.403,1.7861324077653589
S3-M39,M-LA-V,2020-07-09 11:15:25.384,12.255,5.040543500026905
S3-M39,M-LA-V,2020-04-28 17:22:48.314,9.7577,4.823848796792313
S3-M39,M-LA-V,2020-10-14 08:54:55.915,11.317,5.033973262271313
S3-M39,M-LA-V,2021-04-06 11:33:31.834,11.427,5.154272031634684
S3-M39,M-LA-V,2020-02-11 12:56:50.494,9.8902,4.522094045731764
S3-M39,M-LA-V,2019-07-16 12:09:38.416,9.6826,3.966879570373317
S2-M35,V-LA-V,2020-10-14 17:20:57.624,7.8456,3.3505082061572757
S2-M35,V-LA-V,2020-04-28 16:03:35.267,7.0659,2.8028583054709153
S2-M35,V-LA-V,2019-07-16 10:44:24.174,10.058,5.193485608441729
S2-M35,V-LA-V,2020-02-11 10:51:57.413,7.7704,3.5545357794090666
S2-M35,V-LA-V,2021-04-06 12:41:41.624,6.3181,2.177718169753024
S2-M35,V-LA-V,2019-06-18 12:53:15.003,10.968,5.097775451144425
S1-M11,V-LOA-H,2020-04-28 09:45:01.725,2.7982,1.2101429116941453
S1-M11,V-LOA-H,2020-10-14 11:19:17.323,3.4139,1.0861600248479886
S1-M11,V-LOA-H,2019-07-16 09:56:44.455,3.1853,1.2054669853580124
S1-M11,V-LOA-H,2020-02-11 08:49:22.515,4.3511,1.6741769899538528
S1-M11,V-LOA-H,2021-04-06 15:59:23.301,3.8357,1.1070206593982324
S1-M11,V-LOA-H,2020-07-09 08:17:46.233,3.028,1.0342561002089066
S5-66-M2,M-LA-H,2019-10-15 16:31:14.272,3.5834,1.0584666879748927
S5-66-M2,M-LA-H,2021-04-07 11:17:44.855,2.4797,0.908515372121345
S5-66-M2,M-LA-H,2020-10-15 09:38:39.673,4.8449,1.6146465264442922
S2-M35,M-LA-H,2021-04-06 12:41:02.674,5.9276,2.341320548721454
S2-M35,M-LA-H,2020-02-11 10:51:07.864,5.7389,2.185791896714875
S2-M35,M-LA-H,2020-04-28 16:02:59.837,4.0981,1.414749977744962
S2-M35,M-LA-H,2020-10-14 17:20:19.674,4.3346,1.4406439763380918
S2-M35,M-LA-H,2019-07-16 10:43:30.575,5.7479,2.0896988306030324
S2-M35,M-LA-H,2019-06-18 12:52:25.063,5.4508,1.9672960284282537
S4-71-M2,M-LA-A,2020-02-11 13:19:46.540,3.2787,1.2564747451541283
S4-71-M2,M-LA-A,2019-12-03 16:53:47.645,14.833,5.993930026095404
S4-71-M2,M-LA-A,2021-04-07 09:55:21.343,3.8049,1.1808485697169797
S4-71-M2,M-LA-A,2019-10-15 16:53:23.225,9.3064,3.182319000139555
S4-71-M2,M-LA-A,2020-10-13 15:56:44.452,5.8802,2.141748476277493
S5-74-M1,M-LA-A,2020-10-15 10:06:09.068,7.6879,3.1621953522371453
S5-74-M1,M-LA-A,2021-04-07 11:46:14.194,4.4252,1.5650292699695199
S5-74-M1,M-LA-A,2019-10-15 17:00:47.652,8.4997,3.520647464488756
S1-M9,M-LA-H,2020-02-11 08:46:07.916,4.3178,1.6201526806816002
S1-M9,M-LA-H,2019-07-16 09:52:59.355,3.3611,1.1835065156284357
S1-M9,M-LA-H,2021-04-06 15:56:18.502,5.6139,1.753970258298659
S1-M9,M-LA-H,2020-07-09 08:15:09.534,3.7358,1.3336007482211663
S1-M9,M-LA-H,2020-10-14 11:16:37.033,4.9607,1.663182044929054
S1-M9,M-LA-H,2020-04-28 09:41:49.353,4.3353,1.6020719416499594
S1-M9,M-LA-H,2019-11-26 16:50:09.955,4.4212,1.8552134351646392
S2-M35,M-LOA-V,2020-04-28 16:02:49.754,3.9723,1.8362415369947624
S2-M35,M-LOA-V,2019-07-16 10:43:18.794,6.8463,2.890889607490332
S2-M35,M-LOA-V,2020-10-14 17:20:09.724,5.8863,1.8018812168477656
